Exchange,Exchange Amount,Card Before 1,Card Before 2,Card Before 3,Card Before 4,Card Before 5,Card Exchanged 1,Card Exchanged 2,Card Exchanged 3,Win
['n'],0,1,1,9,11,13,0,0,0,True
['t'],3,1,1,3,5,11,3,5,11,False
['t'],3,1,1,2,4,12,2,4,12,False
['t'],3,1,1,4,5,9,4,5,9,True
['n'],0,1,1,3,6,10,0,0,0,False
['t'],2,1,1,2,7,11,2,7,,True
['t'],3,1,1,3,5,8,3,5,8,False
['t'],3,1,1,3,5,11,3,5,11,True
['n'],0,1,1,4,6,9,0,0,0,False
['t'],3,1,1,4,7,13,4,7,13,True
['n'],0,1,1,6,7,13,0,0,0,False
['t'],2,1,1,4,11,13,4,11,,True
['n'],0,1,1,10,11,12,0,0,0,False
['t'],2,1,1,2,3,9,2,3,,True
['n'],0,1,1,5,7,12,0,0,0,False
['t'],3,1,1,3,5,6,3,5,6,True
['t'],2,1,1,3,4,10,3,4,,False
['t'],2,1,1,3,8,13,3,8,,True
['t'],3,1,1,3,5,9,3,5,9,True
['t'],2,1,1,2,9,10,2,9,,False
['t'],3,1,1,7,10,12,7,10,12,True
['t'],3,1,1,7,8,9,7,8,9,False
['t'],3,1,1,2,6,7,2,6,7,True
['t'],3,1,1,4,5,8,4,5,8,False
['t'],3,1,1,5,9,10,5,9,10,False
['t'],2,1,1,3,10,13,3,10,,True
['t'],3,1,1,5,9,12,5,9,12,False
['t'],2,1,1,5,6,13,5,6,,True
['t'],2,1,1,3,8,12,3,8,,True
['t'],3,1,1,2,4,6,2,4,6,False
['t'],3,1,1,9,11,13,9,11,13,True
['t'],2,1,1,5,7,11,5,7,,False
['t'],3,1,1,2,5,9,2,5,9,False
['t'],2,1,1,3,10,12,3,10,,True
['t'],3,1,1,3,5,13,3,5,13,True
['t'],3,1,1,2,5,10,2,5,10,False
['t'],2,1,1,3,7,9,3,7,,False
['n'],0,1,1,5,8,13,0,0,0,True
['t'],3,1,1,2,6,9,2,6,9,True
['t'],3,1,1,2,9,10,2,9,10,False
['n'],0,1,1,6,9,13,0,0,0,True
['t'],2,1,1,2,3,8,2,3,,False
['t'],3,1,1,2,5,13,2,5,13,False
['t'],2,1,1,4,8,9,4,8,,True
['t'],2,1,1,7,9,12,7,9,,True
['t'],3,1,1,7,11,13,7,11,13,False
['t'],2,1,1,2,4,9,2,4,,True
['t'],2,1,1,3,7,8,3,7,,False
['t'],3,1,1,2,3,13,2,3,13,False
['t'],2,1,1,4,10,11,4,10,,True
['t'],2,1,1,2,9,12,2,9,,True
['n'],0,1,1,3,12,13,0,0,0,False
['t'],2,1,1,3,4,13,3,4,,True
['t'],2,1,1,7,9,10,7,9,,False
['t'],3,1,1,3,4,7,3,4,7,False
['t'],2,1,1,7,10,11,7,10,,True
['t'],2,1,1,8,10,12,8,10,,False
['t'],3,1,1,2,4,11,2,4,11,True
['t'],2,1,1,8,10,12,8,10,,False
['t'],2,1,1,9,11,13,9,11,,True
['t'],2,1,1,3,8,9,3,8,,True
['t'],3,1,1,2,7,13,2,7,13,False
['t'],2,1,1,5,11,12,5,11,,True
['t'],3,1,1,2,10,11,2,10,11,False
['t'],3,1,1,2,5,8,2,5,8,False
['t'],2,1,1,6,10,12,6,10,,True
['n'],0,1,1,3,7,13,0,0,0,True
['t'],2,1,1,4,8,12,4,8,,False
['t'],3,1,1,4,7,10,4,7,10,True
['t'],2,1,1,8,9,12,8,9,,False
['t'],3,1,1,2,6,9,2,6,9,False
['t'],2,1,1,2,10,11,2,10,,True
['t'],3,1,1,4,8,9,4,8,9,False
['n'],0,1,1,2,3,13,0,0,0,True
['t'],2,1,1,4,8,13,4,8,,False
['t'],3,1,1,5,6,13,5,6,13,True
['t'],3,1,1,6,7,11,6,7,11,False
['t'],2,1,1,3,9,12,3,9,,True
['t'],2,1,1,2,4,8,2,4,,True
['t'],3,1,1,3,6,12,3,6,12,False
['t'],3,1,1,3,5,11,3,5,11,True
['t'],3,1,1,4,7,12,4,7,12,False
['n'],0,1,1,2,6,12,0,0,0,False
['n'],0,1,1,4,9,12,0,0,0,True
['t'],2,1,1,3,10,12,3,10,,True
['t'],3,1,1,3,9,10,3,9,10,False
['t'],3,1,1,4,7,10,4,7,10,False
['n'],0,1,1,3,6,13,0,0,0,True
['t'],3,1,1,7,8,11,7,8,11,False
['n'],0,1,1,3,8,10,0,0,0,True
['t'],3,1,1,2,4,8,2,4,8,False
['t'],3,1,1,2,7,11,2,7,11,True
['t'],2,1,1,5,7,12,5,7,,True
['t'],2,1,1,5,8,11,5,8,,False
['n'],0,1,1,2,12,13,0,0,0,False
['t'],2,1,1,3,4,8,3,4,,True
['t'],2,1,1,6,7,11,6,7,,False
['t'],3,1,1,6,9,12,6,9,12,True
['t'],2,1,1,3,4,5,3,4,,False
['t'],3,1,1,3,5,8,3,5,8,True
['t'],3,1,1,2,4,11,2,4,11,False
['t'],2,1,1,4,9,13,4,9,,True
['t'],2,1,1,9,10,13,9,10,,True
['n'],0,1,1,6,8,13,0,0,0,False
['t'],2,1,1,3,9,13,3,9,,False
['t'],2,1,1,2,6,8,2,6,,True
['t'],2,1,1,2,7,9,2,7,,False
['t'],2,1,1,5,11,13,5,11,,True
['t'],2,1,1,8,12,13,8,12,,True
['t'],3,1,1,3,4,8,3,4,8,False
['t'],3,1,1,10,11,13,10,11,13,False
['n'],0,1,1,4,11,12,0,0,0,True
['n'],0,1,1,5,8,12,0,0,0,True
